poligraphId,Slug affaire,Titre,poligraphId politique,Slug politique,Politique,Parti actuel (abrégé),Parti actuel,Position politique,Parti au moment (abrégé),Parti au moment,Statut,Statut (code),Catégorie,Catégorie (code),Gravité,Gravité (code),Implication,Implication (code),Liée au mandat,Date des faits,Date de début,Date du verdict,Amende (EUR),Prison (mois),Prison avec sursis,Inéligibilité (mois),TIG (heures),Appel,Peine (texte libre),Autres peines,Juridiction,ECLI,Description,Nombre de sources,Première source (URL),Première source (titre),Page Poligraph,Créée le,Mise à jour le
AF-000315,gaby-charroux-favoritisme-semivim-2025,Mise en examen de Gaby Charroux pour favoritisme dans l'affaire Semivim,PG-006164,gaby-charroux,Gaby Charroux,PCF,Parti communiste français,Extrême gauche,PCF,Parti communiste français,Mise en examen,MISE_EN_EXAMEN,Favoritisme,FAVORITISME,Critique,CRITIQUE,Mis en cause,DIRECT,oui,,2025-04-29,,,,,,,non,,,,,"Gaby Charroux est mis en examen le 29 avril 2025 pour favoritisme dans le cadre d'une affaire de corruption liée à la Semivim, société d'économie mixte de logement social de Martigues. Gaby Charroux bénéficie de la présomption d'innocence.",3,https://fr.wikipedia.org/wiki/Gaby_Charroux,Gaby Charroux - Affaires judiciaires,https://poligraph.fr/affaires/gaby-charroux-favoritisme-semivim-2025,2026-04-10T16:08:25.658Z,2026-04-10T16:16:46.295Z
AF-000314,jean-christophe-lagarde-escroquerie-2024,Mise en examen de Jean-Christophe Lagarde pour escroquerie en bande organisée,PG-036426,jean-christophe-lagarde,Jean-Christophe Lagarde,UDI,Union des démocrates et indépendants,Centre droit,UDI,Union des démocrates et indépendants,Mise en examen,MISE_EN_EXAMEN,Recel,RECEL,Grave,GRAVE,Mis en cause,DIRECT,non,,2024-12-01,,,,,,,non,,,,,"Jean-Christophe Lagarde est mis en examen en décembre 2024 pour escroquerie en bande organisée et recel, à la suite d'une plainte du journaliste Aziz Zemouri. Jean-Christophe Lagarde bénéficie de la présomption d'innocence.",1,https://fr.wikipedia.org/wiki/Jean-Christophe_Lagarde,Jean-Christophe Lagarde - Affaires judiciaires,https://poligraph.fr/affaires/jean-christophe-lagarde-escroquerie-2024,2026-04-10T16:08:25.489Z,2026-04-10T16:13:37.016Z
AF-000313,jean-christophe-lagarde-emploi-fictif-2022,Condamnation de Jean-Christophe Lagarde pour emploi fictif d'assistante parlementaire,PG-036426,jean-christophe-lagarde,Jean-Christophe Lagarde,UDI,Union des démocrates et indépendants,Centre droit,UDI,Union des démocrates et indépendants,Condamnation (1ère instance),CONDAMNATION_PREMIERE_INSTANCE,Emploi fictif,EMPLOI_FICTIF,Critique,CRITIQUE,Mis en cause,DIRECT,oui,2009-01-01,2020-01-01,2022-12-07,60000,10,oui,24,,non,"10 mois de prison avec sursis, 60 000 euros d'amende, 2 ans d'inéligibilité, restitution de 75 000 euros",,,,"Jean-Christophe Lagarde est condamné le 7 décembre 2022 pour détournement de fonds publics lié à l'emploi de sa belle-mère comme assistante parlementaire entre 2009 et 2010, sans travail effectif constaté. Il est condamné à dix mois de prison avec sursis et 60 000 euros d'amende, ainsi qu'à deux ans d'inéligibilité et à la restitution de 75 000 euros à l'Assemblée nationale.",1,https://fr.wikipedia.org/wiki/Jean-Christophe_Lagarde,Jean-Christophe Lagarde - Affaires judiciaires,https://poligraph.fr/affaires/jean-christophe-lagarde-emploi-fictif-2022,2026-04-10T16:08:25.324Z,2026-04-10T16:13:22.189Z
AF-000312,laurent-brosse-violences-conjugales-2024,Condamnation définitive de Laurent Brosse pour violences conjugales,PG-032081,laurent-brosse,Laurent Brosse,LR,Les Républicains,Droite,LR,Les Républicains,Condamnation définitive,CONDAMNATION_DEFINITIVE,Violence,VIOLENCE,Critique,CRITIQUE,Mis en cause,DIRECT,non,,,2024-12-01,,,,,,non,,,,,"Laurent Brosse est définitivement condamné en appel en décembre 2024 pour violences, harcèlement, tentative d'agression sexuelle et séquestration sur son ancienne compagne. La cour d'appel a écarté la peine complémentaire d'inéligibilité prononcée en première instance, lui permettant de se représenter aux élections municipales.",1,https://bonpote.com/municipales-2026-candidats-vss-violences-sexuelle/,Municipales 2026 : candidats VSS réélus,https://poligraph.fr/affaires/laurent-brosse-violences-conjugales-2024,2026-04-10T16:08:25.151Z,2026-04-10T16:12:59.792Z
AF-000311,andre-santini-harcelement-agression-sexuelle-2024,Enquête visant André Santini pour harcèlement sexuel et agression sexuelle,PG-001383,andre-santini,André Santini,UDI,Union des démocrates et indépendants,Centre droit,UDI,Union des démocrates et indépendants,Instruction en cours,INSTRUCTION,Harcèlement sexuel,HARCELEMENT_SEXUEL,Critique,CRITIQUE,Mis en cause,DIRECT,non,,2024-10-01,,,,,,,non,,,,,"André Santini fait l'objet d'une enquête judiciaire ouverte en octobre 2024 pour des faits présumés de harcèlement moral, harcèlement sexuel et agression sexuelle. Des enregistrements évoquant des comportements coercitifs ont été rendus publics. André Santini bénéficie de la présomption d'innocence.",1,https://bonpote.com/municipales-2026-candidats-vss-violences-sexuelle/,Municipales 2026 : candidats VSS réélus,https://poligraph.fr/affaires/andre-santini-harcelement-agression-sexuelle-2024,2026-04-10T16:08:24.984Z,2026-04-10T16:12:34.421Z
AF-000310,louis-aliot-assistants-parlementaires-fn-2025,Condamnation de Louis Aliot dans l'affaire des assistants parlementaires du FN,PG-001807,louis-aliot,Louis Aliot,RN,Rassemblement National,Extrême droite,RN,Rassemblement National,Appel en cours,APPEL_EN_COURS,Détournement de fonds publics,DETOURNEMENT_FONDS_PUBLICS,Critique,CRITIQUE,Mis en cause,DIRECT,oui,2004-01-01,2015-01-01,2025-03-31,,18,non,36,,non,"18 mois de prison dont 12 avec sursis, 3 ans d'inéligibilité",,,,"Louis Aliot est condamné en première instance dans l'affaire des assistants parlementaires du Front national. Il est reconnu coupable de détournement de fonds publics pour avoir participé, entre 2004 et 2016, à un système de rémunération de collaborateurs du FN avec des fonds du Parlement européen, pour un préjudice estimé à 4,5 millions d'euros. Il est condamné à dix-huit mois de prison dont douze avec sursis et trois ans d'inéligibilité. Louis Aliot a fait appel de cette décision.",2,https://www.publicsenat.fr/actualites/politique/proces-du-rn-louis-aliot-bien-que-condamne-a-3-ans-dineligibilite-conserve-sa-mairie-de-perpignan,"Procès du RN : Louis Aliot, bien que condamné à 3 ans d'inéligibilité, conserve sa mairie de Perpignan",https://poligraph.fr/affaires/louis-aliot-assistants-parlementaires-fn-2025,2026-04-10T16:08:24.791Z,2026-04-10T16:12:05.005Z
AF-000309,damien-abad-tentative-viol-2024,Mise en examen de Damien Abad pour tentative de viol,PG-001708,damien-abad,Damien Abad,,,,,,Mise en examen,MISE_EN_EXAMEN,Agression sexuelle,AGRESSION_SEXUELLE,Critique,CRITIQUE,Mis en cause,DIRECT,non,2010-01-01,2022-05-21,,,,,,,non,,,,,"Damien Abad est mis en examen le 16 mai 2024 pour tentative de viol sur une élue centriste en 2010. Deux autres femmes l'accusent de viols commis en 2010 et 2011, pour lesquels il est placé sous le statut de témoin assisté. L'enquête fait suite aux révélations de Mediapart publiées le jour de sa nomination comme ministre des Solidarités en mai 2022. Son immunité parlementaire est levée en mai 2023. Damien Abad conteste l'ensemble des accusations portées contre lui. Il bénéficie de la présomption d'innocence.",2,https://www.franceinfo.fr/societe/justice/l-ex-ministre-damien-abad-mis-en-examen-pour-tentative-de-viol-confirme-le-parquet-de-paris-a-franceinfo_6548594.html,L'ex-ministre Damien Abad mis en examen pour tentative de viol,https://poligraph.fr/affaires/damien-abad-tentative-viol-2024,2026-04-10T16:08:24.580Z,2026-04-10T16:11:15.713Z
AF-000305,rima-hassan-plainte-pour-violation-du-secret-de-l-enquete,Plainte pour violation du secret de l'enquête,PG-001014,rima-hassan,Rima Hassan,LFI,La France insoumise,Gauche,,,Enquête préliminaire,ENQUETE_PRELIMINAIRE,Autre,AUTRE,Significatif,SIGNIFICATIF,Plaignant,PLAINTIFF,non,2026-04-02,,,,,,,,non,,,Parquet de Paris,,Rima Hassan a déposé plainte pour violation du secret de l'enquête après des fuites dans la presse concernant des éléments de sa garde à vue pour apologie du terrorisme. Son avocat dénonce des violations répétées et des fuites organisées pour nuire à sa réputation.,2,https://www.franceinfo.fr/societe/justice/on-vous-explique-la-polemique-autour-des-fuites-sur-la-garde-a-vue-de-l-eurodeputee-insoumise-rima-hassan_7924571.html#xtor=RSS-3-%5Bgeneral%5D,On vous explique la polémique autour des fuites sur la garde à vue de l'eurodéputée insoumise Rima Hassan,https://poligraph.fr/affaires/rima-hassan-plainte-pour-violation-du-secret-de-l-enquete,2026-04-08T19:07:00.216Z,2026-04-10T16:17:39.169Z
AF-000303,christophe-barthes-recours-contre-l-arrete-anti-mendicite-de-carcassonne,Recours contre l'arrêté anti-mendicité de Carcassonne,PG-000229,christophe-barthes,Christophe Barthès,RN,Rassemblement National,Extrême droite,,,Renvoi devant le tribunal,RENVOI_TRIBUNAL,Autre,AUTRE,Significatif,SIGNIFICATIF,Mentionné,MENTIONED_ONLY,non,2026-03-30,,,,,,,,non,,,Tribunal administratif de Montpellier,,"Christophe Barthès, maire RN de Carcassonne, a pris un arrêté anti-mendicité interdisant la mendicité dans plusieurs zones de la ville. La LDH conteste cet arrêté devant le tribunal administratif de Montpellier pour incompétence du maire, atteinte aux libertés fondamentales et caractère discriminatoire.",1,https://www.ladepeche.fr/2026/04/03/arrete-anti-mendicite-de-christophe-barthes-illegal-et-discriminatoire-selon-la-ligue-des-droits-de-lhomme-qui-saisit-le-tribunal-administratif-pour-13308369.php,"Arrêté anti-mendicité de Christophe Barthès : ""Illégal et discriminatoire"" selon la Ligue des droits de l’Homme, qui saisit le tribunal administratif pour le faire annuler",https://poligraph.fr/affaires/christophe-barthes-recours-contre-l-arrete-anti-mendicite-de-carcassonne,2026-04-03T19:08:21.914Z,2026-04-05T19:19:53.979Z
AF-000302,rima-hassan-detention-stupefiants-3mmc-cbd-garde-a-vue,Détention de stupéfiants (3-MMC) découverte lors de la garde à vue,PG-001014,rima-hassan,Rima Hassan,LFI,La France insoumise,Gauche,,,Classement sans suite,CLASSEMENT_SANS_SUITE,Autre,AUTRE,Significatif,SIGNIFICATIF,Mis en cause,DIRECT,non,2026-04-02,,,,,,,,non,,,,,"Lors de la fouille des effets personnels de Rima Hassan pendant sa garde à vue du 2 avril 2026, les enquêteurs découvrent des substances s'apparentant à du CBD et de la 3-MMC (drogue de synthèse). La garde à vue est étendue aux chefs de « transport », « détention » et « usage de stupéfiants ». Rima Hassan déclare avoir acheté du CBD à Bruxelles et que la drogue de synthèse se trouvait là « à son insu ». Le parquet indique que ces éléments feront l'objet d'une procédure séparée. Des analyses sont en cours.",3,https://www.franceinfo.fr/politique/la-france-insoumise/la-garde-a-vue-de-rima-hassan-levee-l-eurodeputee-lfi-convoquee-le-7-juillet-pour-etre-jugee-pour-apologie-de-terrorisme_7911794.html#xtor=RSS-3-%5Bgeneral%5D,"La garde à vue de Rima Hassan levée, l'eurodéputée LFI convoquée le 7 juillet pour être jugée pour ""apologie de terrorisme""",https://poligraph.fr/affaires/rima-hassan-detention-stupefiants-3mmc-cbd-garde-a-vue,2026-04-03T05:07:13.231Z,2026-04-10T16:20:25.226Z
